DIM,PROCS,REP,TIME,STATUS
500,53,6,0.203248,0
500,53,7,0.200843,0
500,53,8,0.230631,0
500,53,9,0.193620,0
500,54,10,0.086640,0
500,54,1,0.089969,0
500,54,2,0.152692,0
500,54,3,0.177594,0
500,54,4,0.130877,0
500,54,5,0.087277,0
500,54,6,0.087566,0
500,54,7,0.163207,0
500,54,8,0.088402,0
500,54,9,0.087564,0
500,55,10,0.085683,0
500,55,1,0.087074,0
500,55,2,0.174195,0
500,55,3,0.084873,0
500,55,4,0.085101,0
500,55,5,0.085145,0
500,55,6,0.084699,0
500,55,7,0.085108,0
500,55,8,0.085970,0
500,55,9,0.195811,0
500,56,10,0.193918,0
500,56,1,0.085733,0
500,56,2,0.083885,0
500,56,3,0.085656,0
500,56,4,0.083601,0
500,56,5,0.086180,0
500,56,6,0.083573,0
500,56,7,0.083706,0
500,56,8,0.085148,0
500,56,9,0.089381,0
500,57,10,0.086853,0
500,57,1,0.160944,0
500,57,2,0.086395,0
500,57,3,0.088138,0
500,57,4,0.081341,0
500,57,5,0.089272,0
500,57,6,0.087820,0
500,57,7,0.097076,0
500,57,8,0.115076,0
500,57,9,0.083258,0
500,58,10,0.419337,0
500,58,1,0.145473,0
500,58,2,0.178787,0
500,58,3,0.179717,0
500,58,4,0.168633,0
500,58,5,0.323149,0
500,58,6,0.155242,0
500,58,7,0.202089,0
500,58,8,0.152139,0
500,58,9,0.159130,0
500,59,10,0.268986,0
500,59,1,0.264445,0
500,59,2,0.306862,0
500,59,3,0.203414,0
500,59,4,0.231898,0
500,59,5,0.241430,0
500,59,6,0.247459,0
500,59,7,0.235354,0
500,59,8,0.243514,0
500,59,9,0.240506,0
500,60,10,0.251475,0
500,60,1,0.279674,0
500,60,2,0.391086,0
500,60,3,0.149467,0
500,60,4,0.346236,0
500,60,5,0.239018,0
500,60,6,0.390147,0
500,60,7,0.355069,0
500,60,8,0.365466,0
500,60,9,0.186574,0
500,61,10,0.174912,0
500,61,1,0.276435,0
500,61,2,0.321515,0
500,61,3,0.202584,0
500,61,4,0.244014,0
500,61,5,0.248291,0
500,61,6,0.217557,0
500,61,7,0.231359,0
500,61,8,0.192303,0
500,61,9,0.252318,0
500,62,10,0.283828,0
500,62,1,0.313249,0
500,62,2,0.293830,0
500,62,3,0.311425,0
500,62,4,0.340398,0
500,62,5,0.296634,0
500,62,6,0.330525,0
500,62,7,0.248514,0
500,62,8,0.325572,0
500,62,9,0.348882,0
500,63,10,0.399839,0
500,63,1,0.284282,0
500,63,2,0.356591,0
500,63,3,0.320571,0
500,63,4,0.351282,0
500,63,5,0.409336,0
500,63,6,0.466836,0
500,63,7,0.328836,0
500,63,8,0.346870,0
500,63,9,0.362923,0
500,64,10,0.732397,0
500,64,1,0.697510,0
500,64,2,0.818613,0
500,64,3,0.751379,0
500,64,4,0.706634,0
500,64,5,0.647995,0
500,64,6,0.810655,0
500,64,7,0.761071,0
500,64,8,0.857316,0
500,64,9,0.691085,0
500,65,10,0.871606,0
500,65,1,0.836155,0
500,65,2,0.837158,0
500,65,3,0.777925,0
500,65,4,0.838617,0
500,65,5,0.849369,0
500,65,6,0.821067,0
500,65,7,0.843576,0
500,65,8,0.825687,0
500,65,9,0.849309,0
500,66,10,1.046404,0
500,66,1,1.041313,0
500,66,2,1.035751,0
500,66,3,0.992036,0
500,66,4,1.003829,0
500,66,5,1.097632,0
500,66,6,1.104793,0
500,66,7,1.018152,0
500,66,8,1.110662,0
500,66,9,1.098907,0
500,67,10,0.552276,0
500,67,1,0.557628,0
500,67,2,0.561689,0
500,67,3,0.551564,0
500,67,4,0.551498,0
500,67,5,0.553341,0
500,67,6,0.555194,0
500,67,7,0.554673,0
500,67,8,0.576510,0
500,67,9,0.577923,0
500,68,10,1.046509,0
500,68,1,1.051516,0
500,68,2,1.010449,0
500,68,3,1.011920,0
500,68,4,1.009070,0
500,68,5,1.087756,0
500,68,6,1.082824,0
